2019-06-24 01:10:33 [scrapy.utils.log] INFO: Scrapy 1.6.0 started (bot: pythonSpider)
2019-06-24 01:10:33 [scrapy.utils.log] INFO: Versions: lxml 3.7.2.0, libxml2 2.9.4, cssselect 1.0.3, parsel 1.5.1, w3lib 1.20.0, Twisted 19.2.0, Python 3.6.5 (v3.6.5:f59c0932b4, Mar 28 2018, 16:07:46) [MSC v.1900 32 bit (Intel)], pyOpenSSL 19.0.0 (OpenSSL 1.1.1c  28 May 2019), cryptography 2.7, Platform Windows-7-6.1.7601-SP1
2019-06-24 01:10:33 [scrapy.crawler] INFO: Overridden settings: {'BOT_NAME': 'pythonSpider', 'DUPEFILTER_CLASS': 'scrapy_redis.dupefilter.RFPDupeFilter', 'LOG_FILE': 'myspider.log', 'NEWSPIDER_MODULE': 'pythonSpider.spiders', 'SCHEDULER': 'scrapy_redis.scheduler.Scheduler', 'SPIDER_MODULES': ['pythonSpider.spiders']}
2019-06-24 01:10:33 [scrapy.extensions.telnet] INFO: Telnet Password: 45b5b428e94d42ba
2019-06-24 01:10:33 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.logstats.LogStats']
2019-06-24 01:10:33 [amazon] INFO: Reading start URLs from redis key 'amazon:start_urls' (batch size: 16, encoding: utf-8
2019-06-24 01:10:35 [scrapy.middleware] INFO: Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'pythonSpider.middlewares.RandomUserAgentMiddleware',
 'scrapy.downloadermiddlewares.retry.RetryMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2019-06-24 01:10:35 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2019-06-24 01:10:35 [scrapy.middleware] INFO: Enabled item pipelines:
['pythonSpider.pipelines.DangdangSpiderPipeline']
2019-06-24 01:10:35 [scrapy.core.engine] INFO: Spider opened
2019-06-24 01:10:35 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2019-06-24 01:10:35 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6023
2019-06-24 01:10:35 [amazon] DEBUG: Read 1 requests from 'amazon:start_urls'
2019-06-24 01:10:37 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051> (referer: None)
2019-06-24 01:10:38 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/%E5%B0%91%E5%84%BF%E5%9B%BE%E4%B9%A6/b?ie=UTF8&node=658409051> (referer: https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051)
2019-06-24 01:10:38 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/b?ie=UTF8&node=118362071> (referer: https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051)
2019-06-24 01:10:38 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/%E5%8A%A8%E6%BC%AB%E7%BB%98%E6%9C%AC-%E5%8D%A1%E9%80%9A%E6%BC%AB%E7%94%BB/b?ie=UTF8&node=658403051> (referer: https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051)
2019-06-24 01:10:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/%E5%B0%8F%E8%AF%B4/b?ie=UTF8&node=658393051> (referer: https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051)
2019-06-24 01:10:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/%E6%96%87%E5%AD%A6%E5%9B%BE%E4%B9%A6/b?ie=UTF8&node=658394051> (referer: https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051)
2019-06-24 01:10:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/%E5%8E%86%E5%8F%B2%E5%9B%BE%E4%B9%A6/b?ie=UTF8&node=658418051> (referer: https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051)
2019-06-24 01:10:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/%E4%BC%A0%E8%AE%B0%E5%9B%BE%E4%B9%A6/b?ie=UTF8&node=658396051> (referer: https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051)
2019-06-24 01:10:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.amazon.cn/%E7%AE%A1%E7%90%86%E5%9B%BE%E4%B9%A6/b?ie=UTF8&node=658399051> (referer: https://www.amazon.cn/%E5%9B%BE%E4%B9%A6/b/ref=topnav_storetab_b?ie=UTF8&node=658390051)
2019-06-24 01:10:39 [scrapy_redis.dupefilter] DEBUG: Filtered duplicate request <GET https://www.amazon.cn/b?ie=UTF8&node=1365667071> - no more duplicates will be shown (see DUPEFILTER_DEBUG to show all duplicates)
